Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
LAGOA COMPRIDA,07/07/1997 09:00,,,,,
LAGOA COMPRIDA,08/07/1997 09:00,,,,,
LAGOA COMPRIDA,09/07/1997 09:00,,,,,
LAGOA COMPRIDA,10/07/1997 09:00,,,,,
LAGOA COMPRIDA,11/07/1997 09:00,,,,,
LAGOA COMPRIDA,12/07/1997 09:00,,,,,
LAGOA COMPRIDA,13/07/1997 09:00,,,,,
LAGOA COMPRIDA,14/07/1997 09:00,,,,,
LAGOA COMPRIDA,15/07/1997 09:00,,,,,
LAGOA COMPRIDA,16/07/1997 09:00,,,,,
LAGOA COMPRIDA,17/07/1997 09:00,,,,,
LAGOA COMPRIDA,18/07/1997 09:00,,,,,
LAGOA COMPRIDA,19/07/1997 09:00,,,,,
LAGOA COMPRIDA,20/07/1997 09:00,,,,,
LAGOA COMPRIDA,21/07/1997 09:00,,,,,
LAGOA COMPRIDA,22/07/1997 09:00,,,,,
LAGOA COMPRIDA,23/07/1997 09:00,,,,,
LAGOA COMPRIDA,24/07/1997 09:00,,,,,
LAGOA COMPRIDA,25/07/1997 09:00,,,,,
LAGOA COMPRIDA,26/07/1997 09:00,,,,,
LAGOA COMPRIDA,27/07/1997 09:00,,,,,
LAGOA COMPRIDA,28/07/1997 09:00,,,,,
LAGOA COMPRIDA,29/07/1997 09:00,,,,,
LAGOA COMPRIDA,30/07/1997 09:00,,,,,
LAGOA COMPRIDA,31/07/1997 09:00,,,,,
LAGOA COMPRIDA,01/08/1997 09:00,,,,,
LAGOA COMPRIDA,02/08/1997 09:00,,,,,
LAGOA COMPRIDA,03/08/1997 09:00,,,,,
LAGOA COMPRIDA,04/08/1997 09:00,,,,,
LAGOA COMPRIDA,05/08/1997 09:00,,,,,
LAGOA COMPRIDA,06/08/1997 09:00,,,,,
LAGOA COMPRIDA,07/08/1997 09:00,,,,,
LAGOA COMPRIDA,08/08/1997 09:00,,,,,
LAGOA COMPRIDA,09/08/1997 09:00,,,,,
LAGOA COMPRIDA,10/08/1997 09:00,,,,,
LAGOA COMPRIDA,11/08/1997 09:00,,,,,
LAGOA COMPRIDA,12/08/1997 09:00,,,,,
LAGOA COMPRIDA,13/08/1997 09:00,,,,,
LAGOA COMPRIDA,14/08/1997 09:00,,,,,
LAGOA COMPRIDA,15/08/1997 09:00,,,,,
LAGOA COMPRIDA,16/08/1997 09:00,,,,,
LAGOA COMPRIDA,17/08/1997 09:00,,,,,
LAGOA COMPRIDA,18/08/1997 09:00,,,,,
LAGOA COMPRIDA,19/08/1997 09:00,,,,,
LAGOA COMPRIDA,20/08/1997 09:00,,,,,
LAGOA COMPRIDA,21/08/1997 09:00,,,,,
LAGOA COMPRIDA,22/08/1997 09:00,,,,,
LAGOA COMPRIDA,23/08/1997 09:00,,,,,
LAGOA COMPRIDA,24/08/1997 09:00,,,,,
LAGOA COMPRIDA,25/08/1997 09:00,,,,,
LAGOA COMPRIDA,26/08/1997 09:00,,,,,
LAGOA COMPRIDA,27/08/1997 09:00,,,,,
LAGOA COMPRIDA,28/08/1997 09:00,,,,,
LAGOA COMPRIDA,29/08/1997 09:00,,,,,
LAGOA COMPRIDA,30/08/1997 09:00,,,,,
LAGOA COMPRIDA,31/08/1997 09:00,,,,,
LAGOA COMPRIDA,01/09/1997 09:00,,,,,
LAGOA COMPRIDA,02/09/1997 09:00,,,,,
LAGOA COMPRIDA,03/09/1997 09:00,,,,,
LAGOA COMPRIDA,04/09/1997 09:00,,,,,
LAGOA COMPRIDA,05/09/1997 09:00,,,,,
LAGOA COMPRIDA,06/09/1997 09:00,,,,,
LAGOA COMPRIDA,07/09/1997 09:00,,,,,
LAGOA COMPRIDA,08/09/1997 09:00,,,,,
LAGOA COMPRIDA,09/09/1997 09:00,,,,,
LAGOA COMPRIDA,10/09/1997 09:00,,,,,
LAGOA COMPRIDA,11/09/1997 09:00,,,,,
LAGOA COMPRIDA,12/09/1997 09:00,,,,,
LAGOA COMPRIDA,13/09/1997 09:00,,,,,
LAGOA COMPRIDA,14/09/1997 09:00,,,,,
LAGOA COMPRIDA,15/09/1997 09:00,,,,,
LAGOA COMPRIDA,16/09/1997 09:00,,,,,
LAGOA COMPRIDA,17/09/1997 09:00,,,,,
LAGOA COMPRIDA,18/09/1997 09:00,,,,,
LAGOA COMPRIDA,19/09/1997 09:00,,,,,
LAGOA COMPRIDA,20/09/1997 09:00,,,,,
LAGOA COMPRIDA,21/09/1997 09:00,,,,,
LAGOA COMPRIDA,22/09/1997 09:00,,,,,
LAGOA COMPRIDA,23/09/1997 09:00,,,,,
LAGOA COMPRIDA,24/09/1997 09:00,,,,,
LAGOA COMPRIDA,25/09/1997 09:00,,,,,
LAGOA COMPRIDA,26/09/1997 09:00,,,,,
LAGOA COMPRIDA,27/09/1997 09:00,,,,,
LAGOA COMPRIDA,28/09/1997 09:00,,,,,
LAGOA COMPRIDA,29/09/1997 09:00,,,,,
LAGOA COMPRIDA,30/09/1997 09:00,,,,,
LAGOA COMPRIDA,01/10/1997 09:00,,,,,
LAGOA COMPRIDA,02/10/1997 09:00,,,,,
LAGOA COMPRIDA,03/10/1997 09:00,,,,,
LAGOA COMPRIDA,04/10/1997 09:00,,,,,
LAGOA COMPRIDA,05/10/1997 09:00,,,,,
LAGOA COMPRIDA,06/10/1997 09:00,,,,,
LAGOA COMPRIDA,07/10/1997 09:00,,,,,
LAGOA COMPRIDA,08/10/1997 09:00,,,,,
LAGOA COMPRIDA,09/10/1997 09:00,,,,,
LAGOA COMPRIDA,10/10/1997 09:00,,,,,
LAGOA COMPRIDA,11/10/1997 09:00,,,,,
LAGOA COMPRIDA,12/10/1997 09:00,,,,,
LAGOA COMPRIDA,13/10/1997 09:00,,,,,
LAGOA COMPRIDA,14/10/1997 09:00,,,,,
LAGOA COMPRIDA,15/10/1997 09:00,,,,,
LAGOA COMPRIDA,16/10/1997 09:00,,,,,
LAGOA COMPRIDA,17/10/1997 09:00,,,,,
LAGOA COMPRIDA,18/10/1997 09:00,,,,,
LAGOA COMPRIDA,19/10/1997 09:00,,,,,
LAGOA COMPRIDA,20/10/1997 09:00,,,,,
LAGOA COMPRIDA,21/10/1997 09:00,,,,,
LAGOA COMPRIDA,22/10/1997 09:00,,,,,
LAGOA COMPRIDA,23/10/1997 09:00,,,,,
LAGOA COMPRIDA,24/10/1997 09:00,,,,,
LAGOA COMPRIDA,25/10/1997 09:00,,,,,
LAGOA COMPRIDA,26/10/1997 09:00,,,,,
LAGOA COMPRIDA,27/10/1997 09:00,,,,,
LAGOA COMPRIDA,28/10/1997 09:00,,,,,
LAGOA COMPRIDA,29/10/1997 09:00,,,,,
LAGOA COMPRIDA,30/10/1997 09:00,,,,,
LAGOA COMPRIDA,31/10/1997 09:00,,,,,
LAGOA COMPRIDA,01/11/1997 09:00,,,,,
LAGOA COMPRIDA,02/11/1997 09:00,,,,,
LAGOA COMPRIDA,03/11/1997 09:00,,,,,
LAGOA COMPRIDA,04/11/1997 09:00,,,,,
LAGOA COMPRIDA,05/11/1997 09:00,,,,,
LAGOA COMPRIDA,06/11/1997 09:00,,,,,
LAGOA COMPRIDA,07/11/1997 09:00,,,,,
LAGOA COMPRIDA,08/11/1997 09:00,,,,,
LAGOA COMPRIDA,09/11/1997 09:00,,,,,
LAGOA COMPRIDA,10/11/1997 09:00,,,,,
LAGOA COMPRIDA,11/11/1997 09:00,,,,,
LAGOA COMPRIDA,12/11/1997 09:00,,,,,
LAGOA COMPRIDA,13/11/1997 09:00,,,,,
LAGOA COMPRIDA,14/11/1997 09:00,,,,,
LAGOA COMPRIDA,15/11/1997 09:00,,,,,
LAGOA COMPRIDA,16/11/1997 09:00,,,,,
LAGOA COMPRIDA,17/11/1997 09:00,,,,,
LAGOA COMPRIDA,18/11/1997 09:00,,,,,
LAGOA COMPRIDA,19/11/1997 09:00,,,,,
LAGOA COMPRIDA,20/11/1997 09:00,,,,,
LAGOA COMPRIDA,21/11/1997 09:00,,,,,
LAGOA COMPRIDA,22/11/1997 09:00,,,,,
LAGOA COMPRIDA,23/11/1997 09:00,,,,,
LAGOA COMPRIDA,24/11/1997 09:00,,,,,
LAGOA COMPRIDA,25/11/1997 09:00,,,,,
LAGOA COMPRIDA,26/11/1997 09:00,,,,,
LAGOA COMPRIDA,27/11/1997 09:00,,,,,
LAGOA COMPRIDA,28/11/1997 09:00,,,,,
LAGOA COMPRIDA,29/11/1997 09:00,,,,,
LAGOA COMPRIDA,30/11/1997 09:00,,,,,
LAGOA COMPRIDA,01/12/1997 09:00,,,,,
LAGOA COMPRIDA,02/12/1997 09:00,,,,,
LAGOA COMPRIDA,03/12/1997 09:00,,,,,
LAGOA COMPRIDA,04/12/1997 09:00,,,,,
LAGOA COMPRIDA,05/12/1997 09:00,,,,,
LAGOA COMPRIDA,06/12/1997 09:00,,,,,
LAGOA COMPRIDA,07/12/1997 09:00,,,,,
LAGOA COMPRIDA,08/12/1997 09:00,,,,,
LAGOA COMPRIDA,09/12/1997 09:00,,,,,
LAGOA COMPRIDA,10/12/1997 09:00,,,,,
LAGOA COMPRIDA,11/12/1997 09:00,,,,,
LAGOA COMPRIDA,12/12/1997 09:00,,,,,
LAGOA COMPRIDA,13/12/1997 09:00,,,,,
LAGOA COMPRIDA,14/12/1997 09:00,,,,,
LAGOA COMPRIDA,15/12/1997 09:00,,,,,
LAGOA COMPRIDA,16/12/1997 09:00,,,,,
LAGOA COMPRIDA,17/12/1997 09:00,,,,,
LAGOA COMPRIDA,18/12/1997 09:00,,,,,
LAGOA COMPRIDA,19/12/1997 09:00,,,,,
LAGOA COMPRIDA,20/12/1997 09:00,,,,,
LAGOA COMPRIDA,21/12/1997 09:00,,,,,
LAGOA COMPRIDA,22/12/1997 09:00,,,,,
LAGOA COMPRIDA,23/12/1997 09:00,,,,,
LAGOA COMPRIDA,24/12/1997 09:00,,,,,
LAGOA COMPRIDA,25/12/1997 09:00,,,,,
LAGOA COMPRIDA,26/12/1997 09:00,,,,,
LAGOA COMPRIDA,27/12/1997 09:00,,,,,
LAGOA COMPRIDA,28/12/1997 09:00,,,,,
LAGOA COMPRIDA,29/12/1997 09:00,,,,,
LAGOA COMPRIDA,30/12/1997 09:00,,,,,
LAGOA COMPRIDA,31/12/1997 09:00,,,,,
LAGOA COMPRIDA,01/01/1998 09:00,,,,,
LAGOA COMPRIDA,02/01/1998 09:00,,,,,
LAGOA COMPRIDA,03/01/1998 09:00,,,,,
LAGOA COMPRIDA,04/01/1998 09:00,,,,,
LAGOA COMPRIDA,05/01/1998 09:00,,,,,
LAGOA COMPRIDA,06/01/1998 09:00,,,,,
LAGOA COMPRIDA,07/01/1998 09:00,,,,,
LAGOA COMPRIDA,08/01/1998 09:00,,,,,
LAGOA COMPRIDA,09/01/1998 09:00,,,,,
LAGOA COMPRIDA,10/01/1998 09:00,,,,,
LAGOA COMPRIDA,11/01/1998 09:00,,,,,
LAGOA COMPRIDA,12/01/1998 09:00,,,,,
LAGOA COMPRIDA,13/01/1998 09:00,,,,,
LAGOA COMPRIDA,14/01/1998 09:00,,,,,
LAGOA COMPRIDA,15/01/1998 09:00,,,,,
LAGOA COMPRIDA,16/01/1998 09:00,,,,,
LAGOA COMPRIDA,17/01/1998 09:00,,,,,
LAGOA COMPRIDA,18/01/1998 09:00,,,,,
LAGOA COMPRIDA,19/01/1998 09:00,,,,,
LAGOA COMPRIDA,20/01/1998 09:00,,,,,
LAGOA COMPRIDA,21/01/1998 09:00,,,,,
LAGOA COMPRIDA,22/01/1998 09:00,,,,,
LAGOA COMPRIDA,23/01/1998 09:00,,,,,
LAGOA COMPRIDA,24/01/1998 09:00,,,,,
LAGOA COMPRIDA,25/01/1998 09:00,,,,,
LAGOA COMPRIDA,26/01/1998 09:00,,,,,
LAGOA COMPRIDA,27/01/1998 09:00,,,,,
LAGOA COMPRIDA,28/01/1998 09:00,,,,,
LAGOA COMPRIDA,29/01/1998 09:00,,,,,
LAGOA COMPRIDA,30/01/1998 09:00,,,,,
LAGOA COMPRIDA,31/01/1998 09:00,,,,,
LAGOA COMPRIDA,01/02/1998 09:00,,,,,
LAGOA COMPRIDA,02/02/1998 09:00,,,,,
LAGOA COMPRIDA,03/02/1998 09:00,,,,,
LAGOA COMPRIDA,04/02/1998 09:00,,,,,
LAGOA COMPRIDA,05/02/1998 09:00,,,,,
LAGOA COMPRIDA,06/02/1998 09:00,,,,,
LAGOA COMPRIDA,07/02/1998 09:00,,,,,
LAGOA COMPRIDA,08/02/1998 09:00,,,,,
LAGOA COMPRIDA,09/02/1998 09:00,,,,,
LAGOA COMPRIDA,10/02/1998 09:00,,,,,
LAGOA COMPRIDA,11/02/1998 09:00,,,,,
LAGOA COMPRIDA,12/02/1998 09:00,,,,,
LAGOA COMPRIDA,13/02/1998 09:00,,,,,
LAGOA COMPRIDA,14/02/1998 09:00,,,,,
LAGOA COMPRIDA,15/02/1998 09:00,,,,,
LAGOA COMPRIDA,16/02/1998 09:00,,,,,
LAGOA COMPRIDA,17/02/1998 09:00,,,,,
LAGOA COMPRIDA,18/02/1998 09:00,,,,,
LAGOA COMPRIDA,19/02/1998 09:00,,,,,
LAGOA COMPRIDA,20/02/1998 09:00,,,,,
LAGOA COMPRIDA,21/02/1998 09:00,,,,,
LAGOA COMPRIDA,22/02/1998 09:00,,,,,
LAGOA COMPRIDA,23/02/1998 09:00,,,,,
LAGOA COMPRIDA,24/02/1998 09:00,,,,,
LAGOA COMPRIDA,25/02/1998 09:00,,,,,
LAGOA COMPRIDA,26/02/1998 09:00,,,,,
LAGOA COMPRIDA,27/02/1998 09:00,,,,,
LAGOA COMPRIDA,28/02/1998 09:00,,,,,
LAGOA COMPRIDA,01/03/1998 09:00,,,,,
LAGOA COMPRIDA,02/03/1998 09:00,,,,,
LAGOA COMPRIDA,03/03/1998 09:00,,,,,
LAGOA COMPRIDA,04/03/1998 09:00,,,,,
LAGOA COMPRIDA,05/03/1998 09:00,,,,,
LAGOA COMPRIDA,06/03/1998 09:00,,,,,
LAGOA COMPRIDA,07/03/1998 09:00,,,,,
LAGOA COMPRIDA,08/03/1998 09:00,,,,,
LAGOA COMPRIDA,09/03/1998 09:00,,,,,
LAGOA COMPRIDA,10/03/1998 09:00,,,,,
LAGOA COMPRIDA,11/03/1998 09:00,,,,,
LAGOA COMPRIDA,12/03/1998 09:00,,,,,
LAGOA COMPRIDA,13/03/1998 09:00,,,,,
LAGOA COMPRIDA,14/03/1998 09:00,,,,,
LAGOA COMPRIDA,15/03/1998 09:00,,,,,
LAGOA COMPRIDA,16/03/1998 09:00,,,,,
LAGOA COMPRIDA,17/03/1998 09:00,,,,,
LAGOA COMPRIDA,18/03/1998 09:00,,,,,
LAGOA COMPRIDA,19/03/1998 09:00,,,,,
LAGOA COMPRIDA,20/03/1998 09:00,,,,,
LAGOA COMPRIDA,21/03/1998 09:00,,,,,
LAGOA COMPRIDA,22/03/1998 09:00,,,,,
LAGOA COMPRIDA,23/03/1998 09:00,,,,,
LAGOA COMPRIDA,24/03/1998 09:00,,,,,
LAGOA COMPRIDA,25/03/1998 09:00,,,,,
LAGOA COMPRIDA,26/03/1998 09:00,,,,,
LAGOA COMPRIDA,27/03/1998 09:00,,,,,
LAGOA COMPRIDA,28/03/1998 09:00,,,,,
LAGOA COMPRIDA,29/03/1998 09:00,,,,,
LAGOA COMPRIDA,30/03/1998 09:00,,,,,
LAGOA COMPRIDA,31/03/1998 09:00,,,,,
LAGOA COMPRIDA,01/04/1998 09:00,,,,,
LAGOA COMPRIDA,02/04/1998 09:00,,,,,
LAGOA COMPRIDA,03/04/1998 09:00,,,,,
LAGOA COMPRIDA,04/04/1998 09:00,,,,,
LAGOA COMPRIDA,05/04/1998 09:00,,,,,
LAGOA COMPRIDA,06/04/1998 09:00,,,,,
LAGOA COMPRIDA,07/04/1998 09:00,,,,,
LAGOA COMPRIDA,08/04/1998 09:00,,,,,
LAGOA COMPRIDA,09/04/1998 09:00,,,,,
LAGOA COMPRIDA,10/04/1998 09:00,,,,,
LAGOA COMPRIDA,11/04/1998 09:00,,,,,
LAGOA COMPRIDA,12/04/1998 09:00,,,,,
LAGOA COMPRIDA,13/04/1998 09:00,,,,,
LAGOA COMPRIDA,14/04/1998 09:00,,,,,
LAGOA COMPRIDA,15/04/1998 09:00,,,,,
LAGOA COMPRIDA,16/04/1998 09:00,,,,,
LAGOA COMPRIDA,17/04/1998 09:00,,,,,
LAGOA COMPRIDA,18/04/1998 09:00,,,,,
LAGOA COMPRIDA,19/04/1998 09:00,,,,,
LAGOA COMPRIDA,20/04/1998 09:00,,,,,
LAGOA COMPRIDA,21/04/1998 09:00,,,,,
LAGOA COMPRIDA,22/04/1998 09:00,,,,,
LAGOA COMPRIDA,23/04/1998 09:00,,,,,
LAGOA COMPRIDA,24/04/1998 09:00,,,,,
LAGOA COMPRIDA,25/04/1998 09:00,,,,,
LAGOA COMPRIDA,26/04/1998 09:00,,,,,
LAGOA COMPRIDA,27/04/1998 09:00,,,,,
LAGOA COMPRIDA,28/04/1998 09:00,,,,,
LAGOA COMPRIDA,29/04/1998 09:00,,,,,
LAGOA COMPRIDA,30/04/1998 09:00,,,,,
LAGOA COMPRIDA,01/05/1998 09:00,,,,,
LAGOA COMPRIDA,02/05/1998 09:00,,,,,
LAGOA COMPRIDA,03/05/1998 09:00,,,,,
LAGOA COMPRIDA,04/05/1998 09:00,,,,,
LAGOA COMPRIDA,05/05/1998 09:00,,,,,
LAGOA COMPRIDA,06/05/1998 09:00,,,,,
LAGOA COMPRIDA,07/05/1998 09:00,,,,,
LAGOA COMPRIDA,08/05/1998 09:00,,,,,
LAGOA COMPRIDA,09/05/1998 09:00,,,,,
LAGOA COMPRIDA,10/05/1998 09:00,,,,,
LAGOA COMPRIDA,11/05/1998 09:00,,,,,
LAGOA COMPRIDA,12/05/1998 09:00,,,,,
LAGOA COMPRIDA,13/05/1998 09:00,,,,,
LAGOA COMPRIDA,14/05/1998 09:00,,,,,
LAGOA COMPRIDA,15/05/1998 09:00,,,,,
LAGOA COMPRIDA,16/05/1998 09:00,,,,,
LAGOA COMPRIDA,17/05/1998 09:00,,,,,
LAGOA COMPRIDA,18/05/1998 09:00,,,,,
LAGOA COMPRIDA,19/05/1998 09:00,,,,,
LAGOA COMPRIDA,20/05/1998 09:00,,,,,
LAGOA COMPRIDA,21/05/1998 09:00,,,,,
LAGOA COMPRIDA,22/05/1998 09:00,,,,,
LAGOA COMPRIDA,23/05/1998 09:00,,,,,
LAGOA COMPRIDA,24/05/1998 09:00,,,,,
LAGOA COMPRIDA,25/05/1998 09:00,,,,,
LAGOA COMPRIDA,26/05/1998 09:00,,,,,
LAGOA COMPRIDA,27/05/1998 09:00,,,,,
LAGOA COMPRIDA,28/05/1998 09:00,,,,,
LAGOA COMPRIDA,29/05/1998 09:00,,,,,
LAGOA COMPRIDA,30/05/1998 09:00,,,,,
LAGOA COMPRIDA,31/05/1998 09:00,,,,,
LAGOA COMPRIDA,01/06/1998 09:00,,,,,
LAGOA COMPRIDA,02/06/1998 09:00,,,,,
LAGOA COMPRIDA,03/06/1998 09:00,,,,,
LAGOA COMPRIDA,04/06/1998 09:00,,,,,
LAGOA COMPRIDA,05/06/1998 09:00,,,,,
LAGOA COMPRIDA,06/06/1998 09:00,,,,,
LAGOA COMPRIDA,07/06/1998 09:00,,,,,
LAGOA COMPRIDA,08/06/1998 09:00,,,,,
LAGOA COMPRIDA,09/06/1998 09:00,,,,,
LAGOA COMPRIDA,10/06/1998 09:00,,,,,
LAGOA COMPRIDA,11/06/1998 09:00,,,,,
LAGOA COMPRIDA,12/06/1998 09:00,,,,,
LAGOA COMPRIDA,13/06/1998 09:00,,,,,
LAGOA COMPRIDA,14/06/1998 09:00,,,,,
LAGOA COMPRIDA,15/06/1998 09:00,,,,,
LAGOA COMPRIDA,16/06/1998 09:00,,,,,
LAGOA COMPRIDA,17/06/1998 09:00,,,,,
LAGOA COMPRIDA,18/06/1998 09:00,,,,,
LAGOA COMPRIDA,19/06/1998 09:00,,,,,
LAGOA COMPRIDA,20/06/1998 09:00,,,,,
LAGOA COMPRIDA,21/06/1998 09:00,,,,,
LAGOA COMPRIDA,22/06/1998 09:00,,,,,
LAGOA COMPRIDA,23/06/1998 09:00,,,,,
LAGOA COMPRIDA,24/06/1998 09:00,,,,,
LAGOA COMPRIDA,25/06/1998 09:00,,,,,
LAGOA COMPRIDA,26/06/1998 09:00,,,,,
LAGOA COMPRIDA,27/06/1998 09:00,,,,,
LAGOA COMPRIDA,28/06/1998 09:00,,,,,
LAGOA COMPRIDA,29/06/1998 09:00,,,,,
LAGOA COMPRIDA,30/06/1998 09:00,,,,,
LAGOA COMPRIDA,01/07/1998 09:00,,,,,
LAGOA COMPRIDA,02/07/1998 09:00,,,,,
LAGOA COMPRIDA,03/07/1998 09:00,,,,,
LAGOA COMPRIDA,04/07/1998 09:00,,,,,
LAGOA COMPRIDA,05/07/1998 09:00,,,,,
LAGOA COMPRIDA,06/07/1998 09:00,,,,,
LAGOA COMPRIDA,07/07/1998 09:00,,,,,
LAGOA COMPRIDA,08/07/1998 09:00,,,,,
LAGOA COMPRIDA,09/07/1998 09:00,,,,,
LAGOA COMPRIDA,10/07/1998 09:00,,,,,
LAGOA COMPRIDA,11/07/1998 09:00,,,,,
LAGOA COMPRIDA,12/07/1998 09:00,,,,,
LAGOA COMPRIDA,13/07/1998 09:00,,,,,
LAGOA COMPRIDA,14/07/1998 09:00,,,,,
LAGOA COMPRIDA,15/07/1998 09:00,,,,,
LAGOA COMPRIDA,16/07/1998 09:00,,,,,
LAGOA COMPRIDA,17/07/1998 09:00,,,,,
LAGOA COMPRIDA,18/07/1998 09:00,,,,,
LAGOA COMPRIDA,19/07/1998 09:00,,,,,
LAGOA COMPRIDA,20/07/1998 09:00,,,,,
LAGOA COMPRIDA,21/07/1998 09:00,,,,,
LAGOA COMPRIDA,22/07/1998 09:00,,,,,
LAGOA COMPRIDA,23/07/1998 09:00,,,,,
LAGOA COMPRIDA,24/07/1998 09:00,,,,,
LAGOA COMPRIDA,25/07/1998 09:00,,,,,
LAGOA COMPRIDA,26/07/1998 09:00,,,,,
LAGOA COMPRIDA,27/07/1998 09:00,,,,,
LAGOA COMPRIDA,28/07/1998 09:00,,,,,
LAGOA COMPRIDA,29/07/1998 09:00,,,,,
LAGOA COMPRIDA,30/07/1998 09:00,,,,,
LAGOA COMPRIDA,31/07/1998 09:00,,,,,
LAGOA COMPRIDA,01/08/1998 09:00,,,,,
LAGOA COMPRIDA,02/08/1998 09:00,,,,,
LAGOA COMPRIDA,03/08/1998 09:00,,,,,
LAGOA COMPRIDA,04/08/1998 09:00,,,,,
LAGOA COMPRIDA,05/08/1998 09:00,,,,,
LAGOA COMPRIDA,06/08/1998 09:00,,,,,
LAGOA COMPRIDA,07/08/1998 09:00,,,,,
LAGOA COMPRIDA,08/08/1998 09:00,,,,,
LAGOA COMPRIDA,09/08/1998 09:00,,,,,
LAGOA COMPRIDA,10/08/1998 09:00,,,,,
LAGOA COMPRIDA,11/08/1998 09:00,,,,,
LAGOA COMPRIDA,12/08/1998 09:00,,,,,
LAGOA COMPRIDA,13/08/1998 09:00,,,,,
LAGOA COMPRIDA,14/08/1998 09:00,,,,,
LAGOA COMPRIDA,15/08/1998 09:00,,,,,
LAGOA COMPRIDA,16/08/1998 09:00,,,,,
LAGOA COMPRIDA,17/08/1998 09:00,,,,,
LAGOA COMPRIDA,18/08/1998 09:00,,,,,
LAGOA COMPRIDA,19/08/1998 09:00,,,,,
LAGOA COMPRIDA,20/08/1998 09:00,,,,,
LAGOA COMPRIDA,21/08/1998 09:00,,,,,
LAGOA COMPRIDA,22/08/1998 09:00,,,,,
LAGOA COMPRIDA,23/08/1998 09:00,,,,,
LAGOA COMPRIDA,24/08/1998 09:00,,,,,
LAGOA COMPRIDA,25/08/1998 09:00,,,,,
LAGOA COMPRIDA,26/08/1998 09:00,,,,,
LAGOA COMPRIDA,27/08/1998 09:00,,,,,
LAGOA COMPRIDA,28/08/1998 09:00,,,,,
LAGOA COMPRIDA,29/08/1998 09:00,,,,,
LAGOA COMPRIDA,30/08/1998 09:00,,,,,
LAGOA COMPRIDA,31/08/1998 09:00,,,,,
LAGOA COMPRIDA,01/09/1998 09:00,,,,,
LAGOA COMPRIDA,02/09/1998 09:00,,,,,
LAGOA COMPRIDA,03/09/1998 09:00,,,,,
LAGOA COMPRIDA,04/09/1998 09:00,,,,,
LAGOA COMPRIDA,05/09/1998 09:00,,,,,
LAGOA COMPRIDA,06/09/1998 09:00,,,,,
LAGOA COMPRIDA,07/09/1998 09:00,,,,,
LAGOA COMPRIDA,08/09/1998 09:00,,,,,
LAGOA COMPRIDA,09/09/1998 09:00,,,,,
LAGOA COMPRIDA,10/09/1998 09:00,,,,,
LAGOA COMPRIDA,11/09/1998 09:00,,,,,
LAGOA COMPRIDA,12/09/1998 09:00,,,,,
LAGOA COMPRIDA,13/09/1998 09:00,,,,,
LAGOA COMPRIDA,14/09/1998 09:00,,,,,
LAGOA COMPRIDA,15/09/1998 09:00,,,,,
LAGOA COMPRIDA,16/09/1998 09:00,,,,,
LAGOA COMPRIDA,17/09/1998 09:00,,,,,
LAGOA COMPRIDA,18/09/1998 09:00,,,,,
LAGOA COMPRIDA,19/09/1998 09:00,,,,,
LAGOA COMPRIDA,20/09/1998 09:00,,,,,
LAGOA COMPRIDA,21/09/1998 09:00,,,,,
LAGOA COMPRIDA,22/09/1998 09:00,,,,,
LAGOA COMPRIDA,23/09/1998 09:00,,,,,
LAGOA COMPRIDA,24/09/1998 09:00,,,,,
LAGOA COMPRIDA,25/09/1998 09:00,,,,,
LAGOA COMPRIDA,26/09/1998 09:00,,,,,
LAGOA COMPRIDA,27/09/1998 09:00,,,,,
LAGOA COMPRIDA,28/09/1998 09:00,,,,,
LAGOA COMPRIDA,29/09/1998 09:00,,,,,
LAGOA COMPRIDA,30/09/1998 09:00,,,,,
LAGOA COMPRIDA,01/10/1998 09:00,,,,,
LAGOA COMPRIDA,02/10/1998 09:00,,,,,
LAGOA COMPRIDA,03/10/1998 09:00,,,,,
LAGOA COMPRIDA,04/10/1998 09:00,,,,,
LAGOA COMPRIDA,05/10/1998 09:00,,,,,
LAGOA COMPRIDA,06/10/1998 09:00,,,,,
LAGOA COMPRIDA,07/10/1998 09:00,,,,,
LAGOA COMPRIDA,08/10/1998 09:00,,,,,
LAGOA COMPRIDA,09/10/1998 09:00,,,,,
LAGOA COMPRIDA,10/10/1998 09:00,,,,,
LAGOA COMPRIDA,11/10/1998 09:00,,,,,
LAGOA COMPRIDA,12/10/1998 09:00,,,,,
LAGOA COMPRIDA,13/10/1998 09:00,,,,,
LAGOA COMPRIDA,14/10/1998 09:00,,,,,
LAGOA COMPRIDA,15/10/1998 09:00,,,,,
LAGOA COMPRIDA,16/10/1998 09:00,,,,,
LAGOA COMPRIDA,17/10/1998 09:00,,,,,
LAGOA COMPRIDA,18/10/1998 09:00,,,,,
LAGOA COMPRIDA,19/10/1998 09:00,,,,,
LAGOA COMPRIDA,20/10/1998 09:00,,,,,
LAGOA COMPRIDA,21/10/1998 09:00,,,,,
LAGOA COMPRIDA,22/10/1998 09:00,,,,,
LAGOA COMPRIDA,23/10/1998 09:00,,,,,
LAGOA COMPRIDA,24/10/1998 09:00,,,,,
LAGOA COMPRIDA,25/10/1998 09:00,,,,,
LAGOA COMPRIDA,26/10/1998 09:00,,,,,
LAGOA COMPRIDA,27/10/1998 09:00,,,,,
LAGOA COMPRIDA,28/10/1998 09:00,,,,,
LAGOA COMPRIDA,29/10/1998 09:00,,,,,
